,R&D Spend,Administration,Marketing Spend,State,Profit
0,165349.2,136897.8,471784.1,New York,192261.83
1,162597.7,151377.59,443898.53,California,191792.06
2,153441.51,,407934.54,Florida,191050.39
3,144372.41,,383199.62,New York,182901.99
4,142107.34,91391.77,366168.42,Florida,166187.94
5,131876.9,99814.71,362861.36,New York,156991.12
6,134615.46,147198.87,127716.82,California,156122.51
7,130298.13,145530.06,323876.68,Florida,155752.6
8,120542.52,148718.95,311613.29,New York,152211.77
9,123334.88,,304981.62,California,149759.96
10,101913.08,,229160.95,Florida,146121.95
11,100671.96,91790.61,249744.55,California,144259.4
12,93863.75,,249839.44,Florida,141585.52
13,91992.39,135495.07,252664.93,California,134307.35
14,119943.24,156547.42,256512.92,Florida,132602.65
15,114523.61,,261776.23,New York,129917.04
16,78013.11,,264346.06,California,126992.93
17,94657.16,145077.58,282574.31,New York,125370.37
18,91749.16,,294919.57,Florida,124266.9
19,86419.7,,0.0,New York,122776.86
20,76253.86,,298664.47,California,118474.03
21,78389.47,153773.43,299737.29,New York,111313.02
22,73994.56,,303319.26,Florida,110352.25
23,67532.53,,304768.73,Florida,108733.99
24,77044.01,99281.34,140574.81,New York,108552.04
25,64664.71,,137962.62,California,107404.34
26,75328.87,,134050.07,Florida,105733.54
27,72107.6,,353183.81,New York,105008.31
28,66051.52,182645.56,118148.2,Florida,103282.38
29,65605.48,,107138.38,New York,101004.64
30,61994.48,,91131.24,Florida,99937.59
31,61136.38,,88218.23,New York,97483.56
32,63408.86,129219.61,46085.25,California,97427.84
33,55493.95,103057.49,214634.81,Florida,96778.92
34,46426.07,157693.92,210797.67,California,96712.8
35,46014.02,85047.44,205517.64,New York,96479.51
36,28663.76,127056.21,201126.82,Florida,90708.19
37,44069.95,,197029.42,California,89949.14
38,20229.59,,185265.1,New York,81229.06
39,38558.51,,174999.3,California,81005.76
40,28754.33,118546.05,172795.67,California,78239.91
41,27892.92,84710.77,164470.71,Florida,77798.83
42,23640.93,96189.63,148001.11,California,71498.49
43,15505.73,127382.3,35534.17,New York,69758.98
44,22177.74,154806.14,28334.72,California,65200.33
45,1000.23,124153.04,1903.93,New York,64926.08
46,1315.46,,297114.46,Florida,49490.75
47,0.0,135426.92,0.0,California,42559.73
48,542.05,51743.15,0.0,New York,35673.41
49,0.0,,45173.06,California,14681.4
