,Mx,My,Mz,Fx,Fy,Fz,EQV1
0,-1675.3903,-1998.66523,5510.791597,788.5001447,-349.8403234,-749.4848569,105.7
1,-2322.437772,-1103.348602,-3821.900279,-292.9806615,-120.3248839,-1492.282784,27.8
2,-2277.678753,3769.912655,6009.484578,449.8207006,465.9934578,,23.8
3,-2646.178051,-5351.089136,-2996.122766,-418.1479692,-52.26714389,,57.5
4,-2454.031157,4307.910081,-2168.36269,696.5203605,269.9066651,-1074.581064,54.0
5,-2995.31877,-5690.739105,-9177.894444,815.8226181,-162.9444393,-828.6317014,14.1
6,-1867.725126,-7235.418512,-844.1626048,304.8102569,451.4625418,-782.9119124,77.5
7,-2680.874493,4539.433063,2385.659992,61.40218581,-258.6559295,-1363.835192,16.5
8,-3213.945966,8710.274788,-2575.485749,-29.84143622,162.5787041,-1261.087356,100.9
9,-1908.546418,-204.8952098,8285.619217,-230.4139951,-545.597041,,149.5
10,-2517.858153,9210.820452,1398.127674,603.5934029,40.82809756,,67.9
11,-3309.850383,201.6400413,-7223.938165,-161.4960282,-308.1647408,-1308.714027,33.6
12,-2409.001478,437.0584282,-7826.386533,419.767882,-460.2958547,,39.1
13,-1563.528437,-4417.382488,4825.526753,-83.91265627,419.057758,-1345.148316,124.6
14,-1808.327311,4965.310908,-6810.017984,250.8887648,-292.2914547,-1053.88626,72.5
15,-2932.361267,8020.739676,-199.6512899,620.6773719,383.8975356,,72.0
16,-2110.354875,1150.003528,-6011.359898,366.8991798,-22.41046283,,38.5
17,-2600.853385,-7038.323726,6803.837213,517.5495657,183.7094429,-1457.88104,173.1
18,-3118.687192,5938.521898,2721.465875,553.264418,-388.6016028,,15.5
19,-3388.792526,-3480.395755,-4632.397991,200.8157858,-495.2295764,,39.7
20,-3259.945215,-6508.252015,3569.137923,862.9833178,-449.0074246,,158.2
21,-1755.113255,6419.162898,6598.461712,727.837883,-8.550298353,-708.6263732,10.0
22,-1972.876051,-2513.980226,-4354.82232,148.074254,506.4337408,,15.5
23,-2838.012959,-1596.256696,-1187.938703,-353.0671063,213.2604629,,11.1
24,-2160.835233,2322.152895,3985.53976,-41.14472004,280.2952063,-1194.493894,33.3
25,-2887.159562,-3691.987783,7577.017301,-399.0910501,97.32911884,,131.7
26,-3078.425608,3106.55962,494.9101523,-207.6432321,349.4571098,,32.3
27,-1610.351048,6741.4719,-5273.222409,38.96443264,-151.7248551,,67.3
28,-2035.414296,7390.413253,-8259.347724,889.9587098,93.09453889,-1538.33963,110.4
29,-2765.167182,1701.768488,1311.56576,179.4132863,-204.4452277,,25.9
30,4743.911809,9497.533399,-5528.544416,464.5737264,-71.41601861,,77.6
31,3278.538898,3655.573636,4585.337698,788.202708,-142.8620553,,66.1
32,4593.741437,3878.218869,-8696.94885,299.1897686,-397.7889073,-1405.825397,7.9
33,2893.293662,-880.5276727,7732.417756,906.9222685,17.73290239,-962.8363934,157.3
34,5617.667395,2533.863563,-952.2954211,-134.1222165,59.16642379,-1008.465423,57.8
